InvoiceID,JobID,AmountRaw,InvoiceDateRaw
INV-2051,JOB-1030,574.79,06/06/2026
INV-2052,JOB-1009,$725.02,2026-06-09
INV-2053,JOB-2001,"$1,583.48",2026-06-27
INV-2054,JOB-2005,1253.76,06/21/2026
INV-2055,JOB-2006,527.23,"Jun 22, 2026"
INV-2056,JOB-2008,$293.63,07/05/2026
INV-2057,JOB-2009,"1,503.44","Jun 23, 2026"
INV-2058,JOB-2013,1566.45,"Jun 21, 2026"
INV-2059,JOB-2014,1334.94,2026-06-11
INV-2060,JOB-2016,1246.79,06/21/2026
INV-2061,JOB-2017,$763.32,2026-06-28
INV-2062,JOB-2018,846.69,06/10/2026
INV-2063,JOB-2019,478.19,07/05/2026
INV-2064,JOB-2020,1077.56,"Jun 27, 2026"
INV-2065,JOB-2021,$635.53,2026-06-09
INV-2066,JOB-2022,1122.17,"Jun 16, 2026"
INV-2067,JOB-2023,1161.56,"Jun 13, 2026"
INV-2068,JOB-2024,$876.02,"Jun 28, 2026"
INV-2069,JOB-2025,"$1,363.04",06/19/2026
INV-2070,JOB-2027,1031.90,06/25/2026
INV-2071,JOB-2028,1403.23,"Jun 26, 2026"
INV-2072,JOB-2030,"$1,381.59","Jun 27, 2026"
INV-2073,JOB-2032,778.70,"Jun 23, 2026"
INV-2074,JOB-2033,"$1,227.44","Jun 9, 2026"
INV-2075,JOB-2035,817.10,06/25/2026
INV-2076,JOB-2037,$136.80,2026-06-21
INV-2077,JOB-2038,1391.85,2026-06-11
INV-2078,JOB-2039,$187.97,06/14/2026
INV-2079,JOB-2040,$464.84,"Jun 4, 2026"
INV-2080,JOB-2042,$590.73,06/24/2026
INV-2081,JOB-2043,646.50,06/17/2026
INV-2082,JOB-2045,437.78,2026-07-02
INV-2083,JOB-2046,"1,470.76",2026-06-30
INV-2084,JOB-2047,694.87,06/27/2026
INV-2085,JOB-2048,899.14,2026-06-09
INV-2086,JOB-2050,"1,158.97",2026-06-06
INV-2087,JOB-2052,169.45,2026-06-28
INV-2088,JOB-2053,940.09,"Jun 21, 2026"
INV-2089,JOB-2054,820.88,2026-06-14
INV-2090,JOB-2055,732.70,06/24/2026
INV-2091,JOB-2056,764.38,06/23/2026
INV-2092,JOB-2057,990.14,06/22/2026
INV-2093,JOB-2058,$534.91,"Jun 23, 2026"
INV-2094,JOB-2059,1358.73,06/24/2026
INV-2095,JOB-2061,799.32,2026-07-03
INV-2096,JOB-2062,"1,008.05",2026-07-01
INV-2097,JOB-2064,"$1,403.90","Jun 20, 2026"
INV-2098,JOB-2067,152.43,06/19/2026
INV-2099,JOB-2068,"$1,157.07",06/23/2026
INV-2100,JOB-2069,231.07,06/14/2026
INV-2101,JOB-2070,"1,040.27",06/11/2026
INV-2102,JOB-9057,$352.85,"Jun 24, 2026"
INV-2103,JOB-9002,$182.11,"Jun 2, 2026"
INV-2104,JOB-9070,100.14,"Jun 26, 2026"
INV-2105,JOB-2055,732.70,06/24/2026
INV-2106,JOB-2056,-150.00,06/23/2026
