PurchaseID,VendorRawName,AmountRaw,PurchaseDateRaw,JobID
PUR-4057,winsupply inc,$344.70,06/28/2026,JOB-2002
PUR-4058,Ferguson,102.80,06/03/2026,JOB-2003
PUR-4059,ABC Elec Wholesale,352.33,"Jun 2, 2026",JOB-2004
PUR-4060,Ferguson,32.76,"Jun 18, 2026",JOB-2005
PUR-4061,Home Depot,$221.40,06/02/2026,JOB-2007
PUR-4062,ABC Electrical Wholesale,170.72,"Jun 30, 2026",JOB-2008
PUR-4063,Winsupply,$145.35,"Jun 18, 2026",JOB-2009
PUR-4064,Home Depot,205.38,"Jun 5, 2026",JOB-2011
PUR-4065,ABC Electrical Wholesale,133.99,"Jun 17, 2026",JOB-2012
PUR-4066,"Winsupply, Inc.",$337.17,"Jun 9, 2026",JOB-2014
PUR-4067,ABC Elec Wholesale,271.06,"Jun 26, 2026",JOB-2015
PUR-4068,HD Pro Supply,231.65,2026-06-09,JOB-2016
PUR-4069,FERGUSON PLBG SUPPLY,115.65,"Jun 18, 2026",JOB-2017
PUR-4070,JOHNSTONE SUPPLY CO,158.71,06/07/2026,JOB-2018
PUR-4071,"Winsupply, Inc.",80.85,2026-06-04,JOB-2022
PUR-4072,Grainger,159.00,2026-06-06,JOB-2023
PUR-4073,HD Pro Supply,90.59,"Jun 21, 2026",JOB-2024
PUR-4074,Ferguson Plumbing Supply,$130.99,06/16/2026,JOB-2025
PUR-4075,FERGUSON PLBG SUPPLY,$283.73,06/21/2026,JOB-2032
PUR-4076,Winsupply,360.71,06/04/2026,JOB-2033
PUR-4077,ABC Electrical Wholesale,342.20,2026-06-11,JOB-2034
PUR-4078,FERGUSON PLBG SUPPLY,101.98,2026-06-21,JOB-2035
PUR-4079,abc electrical wholesale llc,83.45,"Jun 21, 2026",JOB-2037
PUR-4080,Ferguson,276.17,06/11/2026,JOB-2038
PUR-4081,Grainger Inc.,$286.32,2026-06-25,JOB-2041
PUR-4082,Winsupply,316.38,06/17/2026,JOB-2042
PUR-4083,Johnstone Supply,$31.81,2026-06-15,JOB-2043
PUR-4084,ABC Electrical Wholesale,$241.28,06/04/2026,JOB-2044
PUR-4085,Winsupply,253.36,06/26/2026,JOB-2045
PUR-4086,Winsupply,141.17,06/29/2026,JOB-2046
PUR-4087,Johnstone,285.10,06/17/2026,JOB-2047
PUR-4088,FERGUSON PLBG SUPPLY,134.67,06/30/2026,JOB-2049
PUR-4089,ABC Elec Wholesale,$262.86,2026-06-11,JOB-2051
PUR-4090,Ferguson Plumbing Supply,$149.89,06/23/2026,JOB-2052
PUR-4091,JOHNSTONE SUPPLY CO,110.27,2026-06-11,JOB-2053
PUR-4092,Home Depot,179.08,"Jun 21, 2026",JOB-2055
PUR-4093,FERGUSON PLBG SUPPLY,$349.64,2026-06-13,JOB-2057
PUR-4094,Winsupply,134.18,2026-06-20,JOB-2058
PUR-4095,Johnstone,$95.66,2026-06-20,JOB-2059
PUR-4096,grainger,170.92,06/22/2026,JOB-2061
PUR-4097,ABC Electrical Wholesale,$269.05,2026-06-20,JOB-2062
PUR-4098,FERGUSON PLBG SUPPLY,$68.62,"Jun 19, 2026",JOB-2063
PUR-4099,Ferguson Plumbing Supply,72.20,2026-06-08,JOB-2064
PUR-4100,winsupply inc,318.38,06/28/2026,JOB-2065
PUR-4101,Winsupply,165.75,2026-06-14,JOB-2066
PUR-4102,ABC Elec Wholesale,$321.01,"Jun 10, 2026",JOB-2067
PUR-4103,Grainger,127.43,2026-06-22,JOB-2068
PUR-4104,Johnstone Supply,$63.26,2026-06-09,JOB-2070
PUR-4105,Grainger,184.48,06/13/2026,JOB-2072
PUR-4106,HD Pro Supply,$209.20,06/21/2026,
PUR-4107,grainger,44.73,"Jun 21, 2026",
PUR-4108,HD Pro Supply,$264.74,2026-06-03,
PUR-4109,winsupply inc,291.94,06/02/2026,
PUR-4110,grainger,132.23,06/27/2026,
PUR-4111,HD Pro Supply,246.34,2026-06-15,
PUR-4112,Grainger,,06/13/2026,JOB-2072
PUR-4113,ABC Electrical Wholesale,4850.00,06/11/2026,JOB-1030
